2cd8b3c	ryanwprice	Sun Jan 14 14:27:52 2018	intial commit
fa81301	ryanwprice	Sun Jan 14 14:43:01 2018	project 1 & 2
dbc7149	ryanwprice	Sun Jan 14 14:44:40 2018	project 1 & 2
0446ba8	ryanwprice	Sun Jan 14 14:48:39 2018	:pizza:
f6c46a9	ryanwprice	Tue Jan 23 11:30:05 2018	:pizza:
3222f79	ryanwprice	Tue Jan 23 11:53:15 2018	:boom:
ef0e271	ryanwprice	Tue Jan 23 11:55:56 2018	:neckbeard:
ac79289	ryanwprice	Wed Jan 24 09:16:23 2018	:pizza:
e3f8ab7	ryanwprice	Fri Jan 26 07:25:13 2018	:pizza:
1c802a0	ryanwprice	Fri Jan 26 07:25:30 2018	:pizza:
b0222af	ryanwprice	Fri Jan 26 07:28:01 2018	:pizza:
73fa284	ryanwprice	Fri Jan 26 07:30:42 2018	:pizza:
82f3e68	ryanwprice	Fri Jan 26 07:31:12 2018	:pizza:
ac40908	ryanwprice	Wed Jan 31 10:34:20 2018	:poop:
da15f68	ryanwprice	Wed Feb 7 15:56:48 2018	:metal
08c1ba4	ryanwprice	Wed Feb 7 16:05:25 2018	:muscle
2c4cf60	ryanwprice	Wed Feb 7 16:06:27 2018	:muscle:
8db21f9	ryanwprice	Wed Feb 7 16:08:11 2018	:muscle:
bfbcfd0	Ryan Price	Tue Feb 13 14:53:03 2018	Set theme jekyll-theme-minimal
5a50006	Ryan Price	Tue Feb 13 14:53:26 2018	Set theme jekyll-theme-leap-day
3b27302	ryanwprice	Wed Feb 14 14:05:29 2018	:heart_eyes:
75ec612	ryanwprice	Wed Feb 14 14:06:37 2018	:heart_eyes:
5095d6b	ryanwprice	Wed Feb 14 14:06:37 2018	:heart_eyes:
85c6118	ryanwprice	Wed Feb 14 14:09:35 2018	heart_eyes
031c4f1	ryanwprice	Wed Feb 14 14:28:43 2018	:heart_eyes:
8d80dbe	ryanwprice	Wed Feb 21 14:54:13 2018	:poop: